ID;Mensagem;Autor/Fonte
1;A vida é 10% o que acontece com você e 90% como você reage a isso.;Charles R. Swindoll
2;O sucesso é ir de fracasso em fracasso sem perder o entusiasmo.;Winston Churchill
3;Não espere por oportunidades extraordinárias. Agarre ocasiões comuns e as torne grandes.;Orison Swett Marden
4;A vida começa onde termina sua zona de conforto.;Neale Donald Walsch
5;Você se torna aquilo que pensa a maior parte do tempo.;Earl Nightingale
6;O que você faz hoje pode melhorar todos os seus amanhãs.;Ralph Marston
7;"Grandes mentes discutem ideias; mentes medianas discutem eventos; mentes pequenas discutem pessoas.";Eleanor Roosevelt
8;Se você quer alcançar a grandeza, pare de pedir permissão.;Anônimo
9;Tudo o que um sonho precisa para ser realizado é alguém que acredite que ele possa ser realizado.;Roberto Shinyashiki
10;Não é o mais forte que sobrevive, nem o mais inteligente, mas o que melhor se adapta às mudanças.;Charles Darwin
11;Coragem é a resistência ao medo, domínio do medo, e não a ausência do medo.;Mark Twain
12;Não existe vento favorável para quem não sabe onde quer chegar.;Sêneca
13;A disciplina é a ponte entre metas e realizações.;Jim Rohn
14;Que seus sonhos sejam maiores que seus medos.;Anônimo
15;O único modo de fazer um excelente trabalho é amar o que você faz.;Steve Jobs
16;Tudo o que você sempre quis está do outro lado do medo.;George Addair
17;Não conte os dias, faça os dias contarem.;Muhammad Ali
18;"O pessimista vê dificuldade em toda oportunidade; o otimista vê oportunidade em toda dificuldade.";Winston Churchill
19;A felicidade não é algo pronto. Ela vem de suas próprias ações.;Dalai Lama
20;Comece onde você está. Use o que você tem. Faça o que puder.;Arthur Ashe
21;Seja a mudança que você deseja ver no mundo.;Mahatma Gandhi
22;Quem olha para fora sonha, quem olha para dentro desperta.;Carl Jung
23;É durante os momentos mais escuros que devemos focar para ver a luz.;Aristóteles
24;Se você quer algo que nunca teve, precisa estar disposto a fazer algo que nunca fez.;Thomas Jefferson
25;Nunca é tarde demais para ser aquilo que você poderia ter sido.;George Eliot
26;O que não me mata, me fortalece.;Friedrich Nietzsche
27;Sonhe grande. Comece pequeno. Aja agora.;Robin Sharma
28;Uma jornada de mil milhas começa com um único passo.;Lao Tsé
29;O sucesso não é a chave para a felicidade. A felicidade é a chave para o sucesso.;Albert Schweitzer
30;A verdadeira sabedoria está em reconhecer a própria ignorância.;Sócrates
31;A única maneira de fazer um excelente trabalho é amar o que você faz.;Steve Jobs
32;Não importa quão devagar você vá, desde que você não pare.;Confúcio
33;Acredite em você e tudo será possível.;Anônimo
34;Toda ação humana, quer se torne positiva ou negativa, precisa depender de motivação.;Dalai Lama
35;O futuro depende do que você faz hoje.;Mahatma Gandhi
36;Nunca deixe que os seus medos decidam o seu futuro.;Anônimo
37;Mesmo que você esteja no caminho certo, será atropelado se apenas ficar parado.;Will Rogers
38;Você não precisa ser grande para começar, mas precisa começar para ser grande.;Zig Ziglar
39;A dor é temporária. Desistir é para sempre.;Lance Armstrong
40;Faça o seu melhor até saber mais. Quando souber mais, faça melhor.;Maya Angelou
41;Se você quer voar, precisa abrir mão do que te puxa para baixo.;Toni Morrison
42;O fracasso é apenas a oportunidade para recomeçar com mais inteligência.;Henry Ford
43;Coragem não é ausência do medo, é ir em frente apesar do medo.;Nelson Mandela
44;Um pouco de progresso a cada dia leva a grandes resultados.;Anônimo
45;O melhor momento para plantar uma árvore foi há 20 anos. O segundo melhor é agora.;Provérbio Chinês
46;Pessoas positivas mudam o mundo, não porque são mais espertas, mas porque não desistem.;Anônimo
47;Você é mais forte do que pensa e será mais feliz do que imagina.;Anônimo
48;A vida é feita de escolhas. Quando você não escolhe, alguém escolhe por você.;William James
49;Não existe um caminho para a felicidade. A felicidade é o caminho.;Thich Nhat Hanh
50;A mente é tudo. Você se torna aquilo que você pensa.;Buda
51;Lembre-se: a vida é 10% o que acontece com você e 90% como você reage.;Charles R. Swindoll
52;Você nunca será velho demais para estabelecer um novo objetivo.;C.S. Lewis
53;Grandes coisas nunca vêm da zona de conforto.;Anônimo
54;A persistência realiza o impossível.;Provérbio Chinês
55;Dificuldades preparam pessoas comuns para destinos extraordinários.;C.S. Lewis
56;Sucesso é a soma de pequenos esforços repetidos dia após dia.;Robert Collier
57;Não há nada de nobre em ser superior a outro homem. A verdadeira nobreza é ser superior a quem você já foi.;Ernest Hemingway
58;Acredite que você pode, e você já está no meio do caminho.;Theodore Roosevelt
59;Não compare sua jornada com a de ninguém. Você está exatamente onde precisa estar.;Anônimo
60;Inspire antes de expirar.;Anônimo
